id,date,description,normalized_description,amount,merchant,category,subcategory,account,account_type,source_file,needs_review,notes,created_at,updated_at
a1f3e2d4c5b6a7f3e2d4c5b6a7f3e2d4c5b6a7f3e2d4c5b6a7f3e2d4c5b6a7f3,2026-01-15,PAYROLL ACME CORP DIR DEP,Salary - ACME Corp,5500.00,ACME Corp,Income,Salary,TD Chequing,checking,td_chequing_jan2026.csv,false,,2026-01-31T12:00:00Z,2026-01-31T12:00:00Z
b2e4f1d3c6a7b2e4f1d3c6a7b2e4f1d3c6a7b2e4f1d3c6a7b2e4f1d3c6a7b2e4,2026-02-15,PAYROLL ACME CORP DIR DEP,Salary - ACME Corp,5500.00,ACME Corp,Income,Salary,TD Chequing,checking,td_chequing_feb2026.csv,false,,2026-02-28T12:00:00Z,2026-02-28T12:00:00Z
c3d5e2f4a1b6c3d5e2f4a1b6c3d5e2f4a1b6c3d5e2f4a1b6c3d5e2f4a1b6c3d5,2026-03-15,PAYROLL ACME CORP DIR DEP,Salary - ACME Corp,5500.00,ACME Corp,Income,Salary,TD Chequing,checking,td_chequing_mar2026.csv,false,,2026-03-31T12:00:00Z,2026-03-31T12:00:00Z
d4c6b3a5f2e1d4c6b3a5f2e1d4c6b3a5f2e1d4c6b3a5f2e1d4c6b3a5f2e1d4c6,2026-01-31,CHASE SAVINGS INTEREST,Interest Income,8.42,Chase Bank,Income,Interest,Chase Savings,savings,chase_savings_q1_2026.pdf,false,,2026-03-31T12:00:00Z,2026-03-31T12:00:00Z
e5b7c4d2a3f6e5b7c4d2a3f6e5b7c4d2a3f6e5b7c4d2a3f6e5b7c4d2a3f6e5b7,2026-02-28,CHASE SAVINGS INTEREST,Interest Income,7.89,Chase Bank,Income,Interest,Chase Savings,savings,chase_savings_q1_2026.pdf,false,,2026-03-31T12:00:00Z,2026-03-31T12:00:00Z
f6a8d5e3b4c7f6a8d5e3b4c7f6a8d5e3b4c7f6a8d5e3b4c7f6a8d5e3b4c7f6a8,2026-03-31,CHASE SAVINGS INTEREST,Interest Income,8.15,Chase Bank,Income,Interest,Chase Savings,savings,chase_savings_q1_2026.pdf,false,,2026-03-31T12:00:00Z,2026-03-31T12:00:00Z
a7f9e6d4c5b8a7f9e6d4c5b8a7f9e6d4c5b8a7f9e6d4c5b8a7f9e6d4c5b8a7f9,2026-01-01,RENT PAYMENT JAN,Rent,-2200.00,Landlord,Housing,Rent,TD Chequing,checking,td_chequing_jan2026.csv,false,,2026-01-31T12:00:00Z,2026-01-31T12:00:00Z
b8e0f7c5d6a9b8e0f7c5d6a9b8e0f7c5d6a9b8e0f7c5d6a9b8e0f7c5d6a9b8e0,2026-02-01,RENT PAYMENT FEB,Rent,-2200.00,Landlord,Housing,Rent,TD Chequing,checking,td_chequing_feb2026.csv,false,,2026-02-28T12:00:00Z,2026-02-28T12:00:00Z
c9d1e8f6a7b0c9d1e8f6a7b0c9d1e8f6a7b0c9d1e8f6a7b0c9d1e8f6a7b0c9d1,2026-03-01,RENT PAYMENT MAR,Rent,-2200.00,Landlord,Housing,Rent,TD Chequing,checking,td_chequing_mar2026.csv,false,,2026-03-31T12:00:00Z,2026-03-31T12:00:00Z
d0a2f9e7b8c1d0a2f9e7b8c1d0a2f9e7b8c1d0a2f9e7b8c1d0a2f9e7b8c1d0a2,2026-01-08,CON EDISON ELECTRIC 012026,Con Edison,-94.50,Con Edison,Utilities,Electricity,TD Chequing,checking,td_chequing_jan2026.csv,false,,2026-01-31T12:00:00Z,2026-01-31T12:00:00Z
